,Category,Example0,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20,Example21,Example22,Example23,Example24,Example25,Example26,Example27,Example28,Example29,Example30,Example31,Example32,Example33,Example34,Example35,Example36,Example37,Example38,Example39,Example40,Example41,Example42,Example43,Example44,Example45,Example46,Example47,Example48,Example49,Example50,Example51,Example52,Example53,Example54,Example55,Example56,Example57,Example58,Example59,Example60,Example61,Example62,Example63,Example64,Example65,Example66,Example67,Example68,Example69,Example70,Example71,Example72,Example73,Example74,Example75,Example76,Example77,Example78,Example79,Example80,Example81,Example82,Example83,Example84,Example85,Example86,Example87,Example88,Example89,Example90,Example91,Example92,Example93,Example94,Example95,Example96,Example97,Example98,Example99
28,family,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,friend,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,female,0,0,0,0,0,0,0,0,0,1,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,male,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
32,cogproc,7,2,6,10,12,4,2,9,6,36,5,13,21,5,13,5,17,3,7,8,8,3,11,15,6,12,10,44,11,8,23,6,19,2,16,26,6,28,26,19,17,30,9,27,7,2,4,14,12,12,7,26,2,5,8,33,12,15,6,3,3,7,4,7,6,37,2,0,5,8,4,6,6,6,8,20,1,30,3,4,8,2,3,15,6,7,4,6,7,5,1,6,12,0,5,12,4,16,1,5
33,insight,1,0,4,5,6,2,0,3,2,11,3,6,3,1,3,0,7,1,3,0,1,0,3,6,2,2,1,15,2,2,8,4,8,0,4,6,4,8,11,1,5,13,2,8,4,0,1,7,6,6,4,1,2,4,5,13,2,6,3,2,0,1,0,3,2,4,1,0,1,1,3,0,3,0,2,11,0,9,0,2,3,1,0,5,1,3,1,0,2,2,1,3,5,0,1,4,1,1,0,1
34,cause,1,1,1,3,1,0,0,1,2,6,0,1,5,2,3,1,2,0,0,1,1,0,2,4,1,3,1,3,1,0,2,0,5,0,3,3,0,4,0,1,3,6,5,17,0,0,1,2,2,3,0,4,0,1,0,7,1,5,0,1,0,1,1,1,2,7,0,0,1,2,0,1,1,1,1,3,1,9,0,2,0,1,1,2,2,4,1,2,2,0,0,0,1,0,1,0,1,3,0,0
35,discrep,1,0,1,1,2,0,0,2,1,3,0,1,5,2,2,3,3,0,1,0,4,0,0,2,1,4,3,11,4,2,4,0,1,0,0,8,1,3,4,7,3,3,1,3,1,1,1,2,0,1,0,5,0,0,0,0,2,2,1,0,1,0,2,1,2,4,0,0,1,1,0,2,1,0,0,1,0,6,0,0,0,0,0,5,1,2,2,1,0,1,0,1,2,0,1,2,1,4,0,0
36,tentat,1,1,0,2,1,1,1,2,0,7,1,1,4,1,1,0,5,0,1,3,2,0,3,0,0,0,1,10,3,2,4,0,2,1,3,8,3,9,2,5,5,3,1,0,0,1,2,3,1,0,2,4,0,0,2,2,2,5,2,1,2,1,0,2,0,7,1,0,2,1,0,2,0,1,3,5,0,4,1,0,2,0,0,1,0,0,0,2,1,1,0,2,2,0,1,5,1,2,1,1
37,certain,1,0,0,0,0,0,0,1,0,2,0,2,1,0,2,1,1,0,1,1,2,1,0,1,0,0,0,1,1,0,2,1,2,0,0,2,0,2,4,2,0,2,0,2,1,0,0,0,2,0,0,7,0,0,0,7,4,0,0,0,0,0,1,0,0,7,0,0,0,2,1,0,0,1,2,3,0,1,0,0,2,0,2,1,0,0,0,1,0,1,0,1,2,0,0,2,1,4,0,0
